,02_1,02_2,03_1,05_1,05_2,08_1,08_2,09_1,11_1,11_2
169,33.0,43.0,13.0,185.0,237.0,20.0,36.0,31.0,101.0,65.0
170,47.0,47.0,31.0,202.0,237.0,42.0,61.0,37.0,125.0,124.0
171,53.0,58.0,33.0,160.0,198.0,55.0,63.0,60.0,112.0,110.0
172,48.0,70.0,23.0,171.0,210.0,62.0,63.0,61.0,101.0,115.0
173,56.0,60.0,35.0,172.0,215.0,59.0,57.0,59.0,122.0,120.0
174,51.0,60.0,21.0,179.0,221.0,46.0,62.0,53.0,117.0,106.0
175,48.0,55.0,31.0,137.0,168.0,40.0,56.0,30.0,115.0,92.0
176,43.0,54.0,25.0,128.0,144.0,31.0,50.0,36.0,98.0,76.0
177,45.0,49.0,17.0,120.0,134.0,38.0,58.0,29.0,100.0,76.0
178,44.0,47.0,16.0,116.0,134.0,32.0,54.0,31.0,97.0,77.0
179,40.0,55.0,17.0,116.0,110.0,25.0,44.0,35.0,104.0,90.0
180,48.0,62.0,22.0,115.0,116.0,34.0,46.0,27.0,97.0,84.0
181,34.0,53.0,24.0,110.0,118.0,36.0,59.0,27.0,100.0,89.0
182,36.0,58.0,22.0,106.0,101.0,31.0,43.0,24.0,102.0,89.0
183,46.0,61.0,30.0,91.0,99.0,33.0,60.0,28.0,104.0,76.0
184,44.0,46.0,29.0,106.0,105.0,36.0,49.0,34.0,99.0,79.0
185,46.0,55.0,61.0,115.0,99.0,31.0,54.0,31.0,99.0,90.0
186,60.0,65.0,26.0,123.0,101.0,41.0,51.0,25.0,117.0,110.0
187,57.0,50.0,32.0,115.0,110.0,42.0,64.0,42.0,101.0,102.0
188,48.0,67.0,42.0,115.0,124.0,39.0,62.0,43.0,105.0,104.0
189,50.0,60.0,33.0,134.0,143.0,33.0,74.0,35.0,142.0,132.0
190,42.0,58.0,33.0,134.0,146.0,31.0,65.0,24.0,118.0,105.0
191,51.0,62.0,33.0,132.0,153.0,34.0,60.0,41.0,119.0,114.0
192,42.0,52.0,25.0,118.0,97.0,42.0,69.0,44.0,122.0,102.0
193,56.0,57.0,18.0,125.0,112.0,38.0,60.0,66.0,123.0,99.0
194,48.0,51.0,23.0,126.0,118.0,34.0,65.0,33.0,117.0,90.0
195,52.0,50.0,32.0,118.0,105.0,39.0,77.0,37.0,109.0,113.0
196,53.0,59.0,35.0,109.0,104.0,36.0,53.0,31.0,115.0,117.0
197,57.0,56.0,28.0,127.0,126.0,37.0,65.0,44.0,107.0,97.0
198,48.0,47.0,40.0,120.0,102.0,56.0,53.0,54.0,121.0,119.0
199,57.0,56.0,37.0,115.0,122.0,29.0,64.0,29.0,109.0,112.0
200,49.0,59.0,35.0,144.0,146.0,26.0,60.0,38.0,103.0,121.0
201,54.0,56.0,35.0,148.0,135.0,34.0,62.0,35.0,135.0,134.0
202,53.0,58.0,37.0,114.0,139.0,51.0,72.0,41.0,125.0,156.0
203,55.0,54.0,31.0,137.0,125.0,53.0,63.0,38.0,122.0,131.0
204,54.0,59.0,29.0,123.5,114.0,45.0,62.5,36.0,147.0,168.5
205,57.0,59.0,32.0,122.0,118.0,43.0,61.0,32.0,147.0,161.0
206,57.0,66.0,38.0,138.0,120.0,37.0,56.0,38.0,163.0,202.0
207,54.0,54.0,35.0,126.0,136.0,49.0,66.0,35.0,169.0,187.0
208,71.0,69.0,35.0,127.0,121.0,40.0,54.0,41.0,169.0,201.0
209,54.0,55.0,37.0,132.0,126.0,43.0,66.0,36.0,160.0,189.0
210,52.0,66.0,50.0,91.0,100.0,40.0,61.0,45.0,166.0,187.0
