,22,51,52,82,111,112
234,18.0,2.0,1.0,26.0,9.0,12.0
235,11.0,2.0,1.0,16.0,10.0,3.0
236,11.0,4.0,0.0,14.0,9.0,3.0
237,10.0,2.0,0.0,15.0,4.0,2.0
238,22.0,1.0,0.0,10.0,5.0,2.0
239,9.0,0.0,0.0,11.0,9.0,2.0
240,12.0,2.0,0.0,6.0,3.0,0.0
241,8.0,2.0,1.0,10.0,6.0,1.0
242,8.0,1.0,1.0,6.0,1.0,0.0
243,5.0,1.0,0.0,5.0,3.0,1.0
244,3.0,0.0,0.0,3.0,4.0,0.0
245,2.0,3.0,0.0,7.0,1.0,0.0
246,3.0,1.0,0.0,3.0,1.0,0.0
247,4.0,0.0,0.0,5.0,1.0,0.0
248,0.0,2.0,1.0,10.0,1.0,0.0
249,1.0,1.0,0.0,8.0,1.0,0.0
250,0.0,1.0,0.0,4.0,1.0,1.0
251,4.0,0.0,0.0,1.0,1.0,0.0
252,8.0,1.0,0.0,5.0,0.0,0.0
253,7.0,2.0,0.0,6.0,0.0,0.0
254,4.0,4.0,0.0,5.0,3.0,1.0
255,2.0,2.0,0.0,5.0,1.0,1.0
256,5.0,2.0,2.0,5.0,2.0,0.0
257,7.0,6.0,1.0,5.0,2.0,1.0
258,19.0,12.0,0.0,9.0,3.0,1.0
259,23.0,11.0,0.0,14.0,6.0,3.0
260,23.0,24.0,6.0,15.0,8.0,1.0
261,37.0,30.0,10.0,24.0,14.0,2.0
262,33.0,44.0,10.0,50.0,17.0,5.0
263,50.0,56.0,18.0,46.0,22.0,9.0
264,60.0,56.0,21.0,46.0,27.0,13.0
265,84.0,59.0,42.0,73.0,28.0,24.0
266,107.0,66.0,40.0,92.0,34.0,21.0
267,116.0,60.0,49.0,115.0,34.0,19.0
268,148.0,61.0,60.0,119.0,32.0,38.0
269,119.0,67.0,77.0,155.0,31.0,29.0
270,149.0,70.0,76.0,134.0,37.0,27.0
271,85.0,55.0,43.0,99.0,29.0,30.0
272,96.0,43.0,18.0,111.0,31.0,31.0
273,66.0,26.0,14.0,90.0,17.0,15.0
274,109.0,47.0,13.0,101.0,36.0,31.0
275,65.0,41.0,11.0,93.0,42.0,26.0
276,78.5,32.0,11.5,91.0,38.0,28.0
277,83.0,35.0,13.0,93.0,44.0,33.0
278,84.0,38.0,13.0,103.0,39.0,22.0
279,82.0,30.0,15.0,99.0,90.0,38.0
280,113.0,32.0,9.0,95.0,38.0,23.0
281,97.0,24.0,10.0,91.0,37.0,33.0
282,87.0,30.0,14.0,105.0,49.0,34.0
283,97.0,26.0,10.0,93.0,60.0,37.0
284,103.0,28.0,10.0,103.0,45.0,40.0
285,79.0,33.0,7.0,75.0,53.0,38.0
286,115.0,41.0,10.0,148.0,45.0,40.0
287,112.0,30.0,13.0,100.0,44.0,40.0
288,99.0,27.0,9.0,98.0,50.0,35.0
289,86.0,41.0,14.0,109.0,103.0,46.0
290,124.0,35.0,12.0,116.0,44.0,42.0
291,121.0,28.0,8.0,115.0,43.0,33.0
292,106.0,25.0,5.0,120.0,42.0,43.0
293,136.0,26.0,11.0,112.0,56.0,48.0
294,132.0,28.0,13.0,140.0,53.0,55.0
295,121.0,30.0,17.0,146.0,40.0,43.0
296,105.0,38.0,7.0,127.0,54.0,50.0
297,132.0,32.0,18.0,153.0,53.0,54.0
298,119.0,18.0,10.0,138.0,44.0,39.0
299,122.0,30.0,12.0,115.0,58.0,53.0
300,117.0,19.0,8.0,117.0,50.0,49.0
301,126.0,36.0,11.0,108.0,58.0,70.0
302,123.0,21.0,13.0,121.0,65.0,68.0
303,145.0,31.0,12.0,131.0,60.0,60.0
304,116.0,34.0,24.0,160.0,70.0,67.0
305,142.0,24.0,13.0,126.0,67.0,71.0
306,127.0,30.0,13.0,148.0,64.0,80.0
307,111.0,21.0,10.0,121.0,49.0,53.0
308,133.0,28.0,9.0,132.0,65.0,70.0
309,98.0,29.0,3.0,108.0,55.0,61.0
310,101.0,24.0,8.0,90.0,45.0,42.0
311,90.0,26.0,5.0,114.0,47.0,47.0
312,101.0,18.0,8.0,105.0,54.0,47.0
313,73.0,26.0,9.0,79.0,45.0,40.0
