47.0,281.0,86.0,222.0,326.0,47.0,235.0
56.0,293.0,96.0,217.0,339.0,52.0,242.0
67.0,297.0,110.0,221.0,356.5,70.0,253.0
57.0,314.0,117.0,213.0,375.0,60.0,234.0
60.0,319.5,105.0,194.0,377.5,50.0,211.0
54.0,258.5,94.5,177.0,302.5,42.0,179.5
48.0,233.0,89.0,180.0,270.0,41.0,182.5
49.0,226.0,92.5,180.0,267.0,44.0,183.0
52.0,222.0,95.0,198.0,259.0,47.0,199.0
47.0,206.0,91.0,187.0,241.0,44.0,193.0
48.0,204.0,91.0,184.0,236.0,44.0,191.0
49.0,206.0,94.0,191.0,242.0,47.5,200.0
51.0,203.0,94.5,212.0,235.0,48.0,217.0
50.0,194.0,96.0,205.0,229.0,48.5,209.0
51.0,200.0,96.0,210.0,233.0,50.0,220.0
53.0,204.0,98.0,217.0,239.0,52.0,228.0
55.0,204.0,100.0,228.0,239.0,54.0,239.0
54.0,204.0,103.0,237.0,240.0,57.0,243.0
55.0,212.0,104.0,249.0,248.0,55.0,256.0
54.0,209.0,103.0,252.0,245.0,58.0,259.0
55.0,209.0,101.5,260.0,242.5,62.0,267.0
55.0,207.0,104.0,257.0,245.0,59.0,262.0
54.0,212.5,103.0,249.0,248.0,57.0,254.5
53.0,214.0,108.5,248.0,254.0,57.0,252.0
57.0,212.5,106.0,260.0,250.0,57.0,269.0
56.0,213.0,107.0,264.0,250.0,60.0,269.5
56.0,217.0,108.0,275.0,255.0,62.0,289.0
63.0,221.0,111.0,305.0,265.0,67.0,323.0
65.0,223.0,113.0,340.0,263.0,68.0,365.0
62.0,237.5,119.0,313.0,283.0,66.0,326.0
60.0,251.0,121.5,304.0,305.0,61.0,315.0
60.0,240.0,120.0,307.0,289.0,62.0,314.5
59.0,226.0,111.0,323.0,270.0,64.0,333.0
59.0,222.5,112.5,329.0,268.0,63.0,336.5
59.5,220.5,105.0,344.0,259.0,61.0,348.0
60.0,220.5,111.0,344.0,261.5,61.0,346.0
59.0,220.5,104.0,346.5,256.5,62.0,356.0
58.5,224.5,107.0,357.5,262.0,62.0,363.0
60.5,212.5,102.0,368.0,249.5,60.0,380.0
58.0,212.0,98.0,369.0,243.0,61.0,371.0
58.0,200.0,91.0,360.0,233.0,59.0,363.0
57.0,196.0,87.0,350.0,218.0,56.0,349.0
54.0,181.5,80.5,326.0,201.0,49.0,322.0
49.0,166.0,77.0,283.0,184.0,41.0,278.0
48.0,153.0,72.0,256.0,167.0,39.0,249.0
45.0,138.0,68.0,226.0,154.0,37.0,223.0
43.0,137.0,68.0,216.5,153.0,35.0,208.5
41.0,128.5,66.5,194.5,145.0,33.0,191.5
37.0,114.0,63.0,173.0,132.0,32.0,172.5
34.0,98.0,60.0,152.5,114.0,30.0,152.0
35.0,92.0,56.0,136.0,108.0,28.0,136.0
29.0,83.0,55.0,124.5,100.5,26.0,124.0
29.0,78.5,52.0,116.0,97.0,24.0,117.0
26.0,75.0,53.0,109.0,95.0,23.0,108.5
24.0,70.0,49.0,105.0,88.5,23.0,103.0
24.0,67.0,51.0,102.5,88.0,21.0,102.0
23.0,64.0,48.0,103.0,84.5,20.0,100.0
22.0,65.0,52.0,101.0,88.0,20.0,98.0
21.0,64.0,59.0,102.0,96.0,21.0,100.0
19.0,59.0,62.0,103.0,95.0,20.0,99.0
19.0,57.0,58.0,102.0,90.0,20.0,99.0
