out,in
164.0,165.0
136.0,132.0
116.0,112.0
100.0,96.0
88.0,88.0
72.0,68.0
64.0,64.0
60.0,56.0
52.0,56.0
44.0,52.0
40.0,56.0
36.0,52.0
36.0,56.0
40.0,60.0
40.0,72.0
40.0,100.0
48.0,128.0
60.0,160.0
68.0,172.0
80.0,220.0
136.0,288.0
204.0,360.0
308.0,452.0
460.0,632.0
924.0,948.0
1276.0,1192.0
1516.0,1244.0
1524.0,1480.0
1844.0,1784.0
1908.0,1984.0
1948.0,2024.0
2012.0,2108.0
2072.0,2240.0
2100.0,2348.0
2044.0,2348.0
2064.0,2052.0
2052.0,1836.0
1984.0,1720.0
1916.0,1660.0
1716.0,1568.0
1684.0,1572.0
1644.0,1524.0
1636.0,1504.0
1500.0,1456.0
1512.0,1508.0
1524.0,1513.0
1532.0,1516.0
1464.0,1544.0
1540.0,1612.0
1580.0,1640.0
1616.0,1620.0
1556.0,1632.0
1620.0,1680.0
1636.0,1688.0
1640.0,1688.0
1580.0,1708.0
1640.0,1780.0
1688.0,1848.0
1704.0,1876.0
1636.0,1920.0
1732.0,2084.0
1804.0,2184.0
1860.0,2260.0
1824.0,2372.0
1932.0,2452.0
1964.0,2480.0
1972.0,2484.0
2020.0,2584.0
2108.0,2632.0
2044.0,2604.0
2052.0,2580.0
2040.0,2344.0
2036.0,2156.0
1896.0,1812.0
1812.0,1560.0
1632.0,1424.0
1560.0,1332.0
1368.0,1248.0
1230.0,1136.0
1016.0,992.0
960.0,944.0
844.0,864.0
836.0,832.0
760.0,792.0
780.0,780.0
708.0,740.0
656.0,712.0
632.0,708.0
648.0,708.0
608.0,640.0
532.0,572.0
476.0,572.0
412.0,516.0
328.0,392.0
264.0,356.0
206.0,304.0
172.0,196.0
148.0,156.0
120.0,128.0
108.0,112.0
88.0,96.0
84.0,76.0
64.0,68.0
56.0,60.0
52.0,56.0
44.0,52.0
36.0,52.0
36.0,48.0
36.0,56.0
36.0,64.0
36.0,68.0
36.0,108.0
44.0,140.0
48.0,152.0
68.0,192.0
88.0,224.0
140.0,288.0
212.0,340.0
292.0,452.0
448.0,628.0
907.0,940.0
1240.0,1116.0
1456.0,1156.0
1480.0,1432.0
1684.0,1628.0
1812.0,1832.0
1892.0,2000.0
1928.0,2008.0
2044.0,2112.0
2100.0,2224.0
2084.0,2204.0
1968.0,1916.0
1844.0,1740.0
1852.0,1700.0
1812.0,1660.0
1636.0,1576.0
1664.0,1568.0
1648.0,1556.0
1632.0,1548.0
1512.0,1520.0
1552.0,1560.0
1576.0,1584.0
1648.0,1604.0
1592.0,1652.0
1672.0,1688.0
1736.0,1728.0
1756.0,1784.0
1692.0,1760.0
1756.0,1780.0
1788.0,1772.0
1788.0,1768.0
1696.0,1779.0
1744.0,1828.0
1744.0,1856.0
1780.0,1872.0
1688.0,1960.0
1776.0,2104.0
1812.0,2204.0
1872.0,2276.0
1868.0,2388.0
1952.0,2408.0
1964.0,2472.0
2020.0,2464.0
2048.0,2516.0
2144.0,2580.0
2096.0,2508.0
2096.0,2388.0
2088.0,2164.0
2030.0,2048.0
1860.0,1820.0
1780.0,1560.0
1568.0,1412.0
1448.0,1360.0
1332.0,1272.0
1184.0,1180.0
1036.0,1080.0
1012.0,1016.0
928.0,948.0
892.0,900.0
800.0,840.0
784.0,832.0
736.0,752.0
712.0,744.0
672.0,700.0
672.0,684.0
608.0,656.0
564.0,592.0
512.0,600.0
484.0,552.0
400.0,412.0
312.0,392.0
