115.0,168.0,28.0,147.0
118.0,169.0,28.0,147.0
115.0,176.0,30.0,148.0
115.0,169.0,29.0,156.0
118.0,167.0,29.0,165.0
121.0,160.0,29.0,166.0
119.0,162.0,29.0,174.0
121.0,157.0,29.0,194.0
119.0,145.0,29.0,193.0
116.0,136.0,29.0,196.0
111.0,131.0,27.0,204.0
104.0,124.0,26.0,208.0
101.0,118.0,27.0,207.0
103.0,118.0,26.0,204.0
103.0,117.0,26.0,203.0
104.0,110.0,25.0,199.0
100.0,106.0,25.0,191.0
95.0,100.0,24.0,180.0
93.0,94.0,21.0,173.0
83.0,86.0,18.0,159.5
78.0,83.0,17.0,143.0
70.0,80.0,16.0,135.0
63.0,73.0,14.0,132.0
56.0,68.5,13.0,166.0
51.0,66.0,13.0,143.0
50.0,66.0,13.0,126.0
49.0,66.0,12.0,123.0
48.0,61.0,12.0,123.0
44.0,59.0,11.0,114.0
42.0,59.0,11.0,99.5
43.0,54.5,10.0,95.0
41.0,51.0,7.0,88.0
35.0,50.0,9.0,88.0
34.0,46.0,6.0,82.0
30.0,43.0,8.0,69.0
29.0,39.0,5.0,61.0
27.0,37.0,6.0,58.0
26.0,33.0,4.0,50.0
24.0,30.0,5.0,50.0
20.0,28.0,3.0,45.0
17.0,26.0,4.0,36.0
14.0,23.0,2.0,33.0
12.0,17.0,3.0,28.0
10.0,14.0,1.0,26.0
8.0,10.0,3.0,22.5
6.0,10.0,1.0,19.0
5.0,8.0,1.0,17.0
4.0,7.0,1.0,16.0
3.0,5.0,0.0,15.0
3.0,5.0,0.0,14.5
2.0,4.0,0.0,13.0
3.0,4.0,0.0,12.0
2.0,3.0,0.0,10.0
2.0,3.0,0.0,8.0
2.0,2.0,0.0,8.0
2.0,3.0,0.0,13.0
2.0,2.0,0.0,12.0
2.0,2.0,0.0,10.0
2.0,2.0,0.0,7.0
2.0,2.0,0.0,5.0
3.0,3.0,0.0,6.0
3.0,4.0,0.0,5.0
3.0,5.0,0.0,7.0
3.0,6.0,1.0,9.0
