location,type,starttime,endtime,coords
Den Haag-Rotterdam,aanrijding met een persoon,2019-03-29 15:06,2019-03-29 17:09,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2019-03-27 18:14,2019-03-27 18:14,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,defecte trein,2019-03-26 20:45,2019-03-26 21:11,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,defecte trein,2019-03-26 10:47,2019-03-26 12:03,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C; Haarlem-Leiden,seinstoring,2019-03-25 12:24,2019-03-25 23:30,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,seinstoring,2019-03-25 12:23,2019-03-25 12:23,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,aanrijding met een voertuig,2019-03-24 15:47,2019-03-24 16:33,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam-Brussel (HSL),verstoring elders,2019-03-24 13:18,2019-03-24 13:18,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam-Brussel (HSL),aanrijding met een persoon,2019-03-24 12:51,2019-03-24 12:51,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,aanrijding met een persoon,2019-03-24 12:34,2019-03-24 14:57,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam-Brussel (HSL),seinstoring,2019-03-22 13:59,2019-03-22 13:59,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,seinstoring,2019-03-22 13:07,2019-03-22 15:12,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,gestrande trein,2019-03-19 13:24,2019-03-19 13:37,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,inzet van hulpdiensten,2019-03-18 17:52,2019-03-18 18:27,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2019-03-11 15:56,2019-03-11 16:25,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,aanrijding met een persoon,2019-03-05 20:00,2019-03-05 00:24,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2019-03-04 16:00,2019-03-04 17:01,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam-Brussel (HSL),wateroverlast,2019-03-04 09:24,2019-03-04 09:27,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,wateroverlast,2019-03-04 09:12,2019-03-04 10:52,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2019-03-03 12:57,2019-03-03 12:59,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag HS; Leiden-Den Haag C,wisselstoring,2019-03-03 06:43,2019-03-03 09:28,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}, 'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Leiden-Den Haag C,wisselstoring,2019-03-03 06:28,2019-03-03 06:39,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,verstoring elders,2019-02-27 20:42,2019-02-27 21:07,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2019-02-22 10:16,2019-02-22 10:57,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2019-02-21 22:56,2019-02-21 23:12,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam-Brussel (HSL),defect spoor,2019-02-20 17:20,2019-02-20 18:49,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,defect spoor,2019-02-20 17:04,2019-02-20 04:18,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,defecte trein,2019-02-19 21:21,2019-02-19 23:14,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam-Brussel (HSL),stroomstoring,2019-02-19 15:17,2019-02-19 16:31,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,stroomstoring,2019-02-19 14:35,2019-02-19 17:00,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag Centraal,verstoring elders,2019-02-18 05:40,2019-02-18 06:17,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,defecte trein,2019-02-17 14:17,2019-02-17 14:34,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag Laan v NOI,nog onbekende oorzaak,2019-02-12 01:20,2019-02-12 01:23,"{'Den Haag Laan v NOI': {'latitude': 52.078889, 'longitude': 4.343056}}"
Den Haag-Rotterdam,verstoring elders,2019-02-11 08:13,2019-02-11 10:03,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2019-02-11 06:10,2019-02-11 06:30,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2019-02-09 14:27,2019-02-09 14:44,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,defecte bovenleiding,2019-02-09 12:56,2019-02-09 14:56,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,inzet van de politie,2019-02-08 09:01,2019-02-08 09:05,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,wisselstoring,2019-02-06 07:46,2019-02-06 09:37,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag Centraal,wisselstoring,2019-02-06 06:16,2019-02-06 06:44,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,defecte trein,2019-02-05 19:37,2019-02-05 19:53,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,stroomstoring,2019-02-05 03:09,2019-02-05 04:36,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,defecte trein,2019-02-01 17:27,2019-02-01 17:58,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,defecte trein,2019-01-29 11:01,2019-01-29 11:26,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Gouda-Den Haag,inzet van hulpdiensten,2019-01-27 12:26,2019-01-27 13:57,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,defecte trein,2019-01-25 07:13,2019-01-25 08:43,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2019-01-24 09:38,2019-01-24 09:58,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam-Brussel (HSL),herstelwerkzaamheden,2019-01-23 17:28,2019-01-23 17:48,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,herstelwerkzaamheden,2019-01-23 17:28,2019-01-23 17:28,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2019-01-23 17:23,2019-01-23 17:32,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,inzet van de politie,2019-01-23 16:22,2019-01-23 16:48,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2019-01-22 11:32,2019-01-22 12:10,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2019-01-22 06:59,2019-01-22 07:10,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2019-01-21 13:19,2019-01-21 13:32,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,defecte trein,2019-01-21 10:10,2019-01-21 10:56,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,defecte trein,2019-01-21 08:56,2019-01-21 09:18,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,defecte trein,2019-01-21 08:32,2019-01-21 08:56,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2019-01-21 08:27,2019-01-21 09:18,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,defecte trein,2019-01-21 06:51,2019-01-21 07:27,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag HS,defecte trein,2019-01-21 06:26,2019-01-21 06:53,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag-Rotterdam,verstoring elders,2019-01-18 22:10,2019-01-18 22:36,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,verstoring elders,2019-01-13 21:48,2019-01-13 00:08,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2019-01-13 13:10,2019-01-13 13:19,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2019-01-11 14:19,2019-01-11 15:03,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Gouda Goverwelle,defecte bovenleiding,2019-01-10 15:48,2019-01-10 15:55,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,defecte trein,2019-01-09 17:26,2019-01-09 18:11,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,defecte trein,2019-01-03 14:53,2019-01-03 15:26,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag HS,defecte trein,2019-01-03 13:55,2019-01-03 14:12,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag-Rotterdam,defecte trein,2019-01-01 19:13,2019-01-01 19:22,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,verstoring elders,2018-12-31 09:58,2018-12-31 11:58,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-12-30 14:33,2018-12-30 14:54,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-12-27 17:22,2018-12-27 18:02,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,verstoring elders,2018-12-27 06:34,2018-12-27 06:40,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,defecte trein,2018-12-21 19:09,2018-12-21 19:58,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam-Dordrecht,defecte trein,2018-12-20 16:40,2018-12-20 16:55,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,verstoring elders,2018-12-20 07:21,2018-12-20 08:29,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,herstelwerkzaamheden,2018-12-18 10:57,2018-12-18 11:56,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-12-17 17:31,2018-12-17 19:46,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,defecte trein,2018-12-17 12:12,2018-12-17 17:36,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam-Dordrecht,eerdere verstoring,2018-12-11 15:49,2018-12-11 16:55,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam-Brussel (HSL),stroomstoring,2018-12-11 14:15,2018-12-11 16:05,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,stroomstoring,2018-12-11 13:47,2018-12-11 16:16,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,brandmelding,2018-12-11 10:01,2018-12-11 11:14,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,gestrande trein,2018-12-09 06:19,2018-12-09 06:33,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-12-08 18:22,2018-12-08 18:36,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-12-06 14:58,2018-12-06 15:43,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-12-05 17:43,2018-12-05 17:47,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-12-04 12:08,2018-12-04 12:30,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,sein-en wisselstoring,2018-12-04 11:56,2018-12-04 14:25,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,verstoring elders,2018-11-25 21:20,2018-11-25 01:16,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,aanrijding,2018-11-24 00:41,2018-11-24 00:51,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,inzet van hulpdiensten,2018-11-22 20:55,2018-11-22 21:54,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,defecte trein,2018-11-22 14:22,2018-11-22 14:37,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte bovenleiding,2018-11-22 11:13,2018-11-22 13:32,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,wisselstoring,2018-11-21 08:04,2018-11-21 09:57,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-11-19 22:15,2018-11-19 22:16,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,aanrijding met een persoon,2018-11-19 13:43,2018-11-19 15:29,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam-Dordrecht,aanrijding met een persoon,2018-11-16 12:37,2018-11-16 16:10,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,aanrijding met een persoon,2018-11-16 11:50,2018-11-16 16:11,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Gouda Goverwelle,wisselstoring,2018-11-14 06:41,2018-11-14 11:28,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,dier op het spoor,2018-11-09 10:29,2018-11-09 11:24,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-11-06 14:37,2018-11-06 15:31,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-11-04 15:09,2018-11-04 15:09,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-11-02 14:40,2018-11-02 14:59,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,defecte trein,2018-11-02 13:35,2018-11-02 13:35,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,aanrijding met een persoon,2018-11-01 15:40,2018-11-01 18:38,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,aanrijding met een persoon,2018-11-01 09:32,2018-11-01 13:05,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,defecte trein,2018-10-31 09:47,2018-10-31 10:28,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-10-30 19:07,2018-10-30 19:59,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-10-28 20:37,2018-10-28 20:41,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-10-28 19:15,2018-10-28 19:47,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-10-26 19:15,2018-10-26 19:31,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-10-25 08:30,2018-10-25 09:26,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam-Breda (HSL),onverwachte werkzaamheden,2018-10-23 08:51,2018-10-23 08:57,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-10-22 18:33,2018-10-22 18:56,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,verstoring elders,2018-10-22 14:09,2018-10-22 14:44,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,seinstoring,2018-10-21 17:24,2018-10-21 17:24,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-10-17 17:23,2018-10-17 18:14,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,verstoring elders,2018-10-17 08:34,2018-10-17 10:00,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-10-12 08:36,2018-10-12 08:49,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,inzet van hulpdiensten,2018-10-10 12:34,2018-10-10 12:58,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-10-10 10:36,2018-10-10 10:36,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,aanrijding met een persoon,2018-10-09 16:38,2018-10-09 19:29,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,defecte trein,2018-10-08 19:43,2018-10-08 21:13,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,defecte trein,2018-10-08 15:01,2018-10-08 16:04,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-10-08 13:40,2018-10-08 14:33,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam-Dordrecht,seinstoring,2018-10-08 06:13,2018-10-08 06:15,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,aanrijding met een persoon,2018-10-05 11:47,2018-10-05 18:04,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Gouda Goverwelle,eerdere verstoring,2018-10-04 14:07,2018-10-04 14:59,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-10-03 21:21,2018-10-03 21:21,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,verstoring elders,2018-10-02 12:25,2018-10-02 15:06,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,verstoring elders,2018-10-02 10:57,2018-10-02 12:14,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,defecte trein,2018-10-01 08:03,2018-10-01 08:10,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-09-27 21:11,2018-09-27 21:19,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,defecte trein,2018-09-27 10:11,2018-09-27 11:14,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam-Eindhoven (HSL),wisselstoring,2018-09-25 19:10,2018-09-25 23:00,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Amsterdam-Rotterdam-Breda (HSL),defecte trein,2018-09-24 18:50,2018-09-24 20:26,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-09-23 13:04,2018-09-23 13:09,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,inzet van de brandweer,2018-09-23 06:07,2018-09-23 07:07,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,seinstoring,2018-09-21 05:18,2018-09-21 05:29,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-09-17 21:49,2018-09-17 22:04,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,aanrijding met een persoon,2018-09-16 22:00,2018-09-16 23:28,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,sein-en wisselstoring,2018-09-16 17:34,2018-09-16 18:54,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-09-14 11:46,2018-09-14 12:29,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag HS,defecte trein,2018-09-12 13:59,2018-09-12 14:03,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag-Rotterdam-Dordrecht,defecte bovenleiding,2018-09-11 22:51,2018-09-11 01:13,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,defecte trein,2018-09-10 21:18,2018-09-10 22:21,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-09-10 14:37,2018-09-10 14:44,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-09-10 12:14,2018-09-10 12:29,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-09-10 11:42,2018-09-10 11:48,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-09-09 13:56,2018-09-09 14:01,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,wisselstoring,2018-09-07 18:16,2018-09-07 18:25,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-09-06 14:05,2018-09-06 14:28,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-09-03 10:06,2018-09-03 10:38,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,defecte trein,2018-08-31 08:41,2018-08-31 08:58,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,aanrijding met een persoon,2018-08-30 13:32,2018-08-30 17:25,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-08-27 19:30,2018-08-27 20:29,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam; Leiden-Rotterdam,seinstoring,2018-08-27 03:52,2018-08-27 05:59,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,aanrijding met een persoon,2018-08-26 22:25,2018-08-26 00:37,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden-Den Haag C,eerdere verstoring,2018-08-24 14:50,2018-08-24 17:36,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-08-23 11:53,2018-08-23 12:14,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,verstoring elders,2018-08-20 09:21,2018-08-20 11:00,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-08-14 08:52,2018-08-14 09:30,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag-Rotterdam,defecte trein,2018-08-09 11:36,2018-08-09 12:57,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
