location,type,starttime,endtime,coords
Dordrecht-Den Haag C.,defect spoor,2016-04-06 11:52,2016-04-06 15:32,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Gouda,versperring,2016-03-31 12:12,2016-03-31 17:46,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Gouda,aanrijding met een persoon,2016-03-30 13:36,2016-03-30 16:01,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Dordrecht,seinstoring,2016-03-25 11:22,2016-03-25 13:05,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag HS-Delft,inzet van hulpdiensten,2016-03-24 16:40,2016-03-24 17:30,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Utrecht C.-Den Haag C./Rotterdam C.,wisselstoring,2016-03-15 07:13,2016-03-15 08:32,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
"Den Haag HS-Haarlem/Rotterdam C., Rotterdam C.-Dordrecht",aanrijding met een persoon,2016-03-13 07:27,2016-03-13 12:50,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Rotterdam C.-Den Haag HS,persoon op het spoor,2016-03-07 15:19,2016-03-07 16:26,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Den Haag HS,wisselstoring,2016-03-03 16:48,2016-03-03 18:14,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}, 'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Rotterdam C.-Den Haag HS,defecte trein,2016-03-03 12:48,2016-03-03 13:32,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Utrecht C.-Den Haag C./Rotterdam C.,wisselstoring,2016-03-03 05:36,2016-03-03 06:51,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Leiden C.,defecte trein,2016-02-28 18:22,2016-02-28 18:58,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Rotterdam C.-Den Haag C.,defecte trein,2016-02-26 17:39,2016-02-26 19:45,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Utrecht C.-Den Haag C.,verstoring elders,2016-02-26 12:55,2016-02-26 15:05,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
