,21,22,23,51,61,62,71,72,81,82,112,113
96,77.0,50.0,38.0,70.0,31.0,25.0,35.0,27.0,40.5,45.0,21.5,19.5
97,78.0,51.0,39.0,72.0,33.0,27.0,34.0,26.0,41.0,47.0,23.0,19.0
98,81.0,51.5,43.0,72.0,33.0,26.0,34.0,25.0,44.5,49.5,23.0,20.0
99,78.0,54.0,43.0,69.0,32.0,26.0,35.0,27.0,44.0,49.0,25.0,24.5
100,80.0,55.0,44.0,68.0,31.5,26.0,38.0,29.0,42.0,47.0,26.0,25.0
101,79.0,58.0,47.0,71.0,33.0,27.0,36.5,29.0,44.0,49.0,28.0,24.5
102,81.0,60.0,51.0,75.5,32.0,27.0,37.0,30.5,46.0,50.5,28.0,24.0
103,75.0,59.0,53.0,78.0,31.5,26.0,40.0,33.0,48.0,51.5,28.0,27.0
104,79.0,61.5,56.0,81.5,33.0,29.0,39.0,33.5,53.5,57.5,30.0,27.0
105,79.0,59.0,49.5,78.0,35.0,31.0,42.0,37.0,50.5,56.5,28.0,24.0
106,75.0,57.0,50.5,72.5,33.0,28.0,42.0,38.0,53.0,58.5,28.0,22.0
107,73.0,58.0,54.0,70.0,32.0,27.0,44.0,40.0,51.0,55.0,29.0,25.0
108,76.0,62.0,60.0,66.0,32.0,28.0,43.0,38.0,51.0,55.0,28.0,25.0
109,73.0,60.0,57.0,69.0,34.0,31.0,42.0,37.0,48.0,53.0,27.0,25.0
110,71.0,65.0,57.0,65.5,33.0,30.0,40.0,38.0,48.0,51.0,25.0,24.0
111,74.0,64.0,62.5,76.0,34.0,31.0,43.5,41.0,49.0,53.0,23.5,22.5
112,73.0,71.0,65.0,70.0,33.0,29.0,44.0,43.0,51.0,55.0,23.0,21.0
113,72.0,67.0,62.0,63.5,31.0,28.0,41.0,40.0,45.0,48.0,21.0,17.0
114,75.5,66.5,61.0,64.0,32.0,27.0,39.0,37.0,45.0,48.5,21.0,15.0
115,80.0,68.5,58.5,66.5,32.5,26.0,37.0,34.0,46.0,51.0,19.0,14.0
116,77.0,63.0,53.0,60.5,30.0,24.0,36.0,31.0,43.0,45.0,19.0,12.5
117,79.0,56.0,48.0,61.0,29.0,23.0,33.0,25.0,38.0,39.0,19.0,13.0
118,75.0,54.0,42.0,52.5,28.0,21.0,32.0,23.0,37.0,38.5,18.0,13.0
119,73.0,47.0,38.0,51.0,26.0,19.0,31.0,23.0,34.0,34.0,17.0,13.0
120,67.0,42.0,34.0,49.0,28.0,19.0,31.0,21.0,36.0,35.0,18.0,13.0
121,64.0,38.0,33.0,46.0,26.0,18.0,31.0,21.0,33.0,30.0,22.0,16.0
122,60.0,36.0,30.0,44.0,27.0,21.0,30.0,19.0,33.0,31.0,23.0,15.0
123,58.0,34.0,27.0,43.0,25.0,18.0,29.0,22.0,32.0,30.0,19.0,12.0
124,53.0,32.0,25.0,41.0,24.5,16.0,28.0,19.0,31.0,27.0,17.0,10.0
125,51.0,30.0,23.0,39.0,23.0,14.0,27.0,18.0,31.0,26.0,14.0,9.0
126,49.0,29.0,22.0,37.0,21.0,13.0,26.0,16.0,30.0,25.5,13.0,8.0
127,46.0,27.0,20.0,37.5,22.0,12.0,26.0,16.0,31.0,25.0,13.0,8.0
128,45.5,26.0,19.0,36.0,20.0,12.0,26.0,16.5,31.0,24.5,13.0,7.0
129,43.0,25.0,19.0,35.0,18.0,11.0,25.0,16.0,27.5,23.0,12.0,7.5
130,43.0,25.0,20.0,33.0,17.0,10.0,27.0,18.0,28.0,22.0,11.0,6.0
131,39.0,25.0,18.0,33.0,16.0,10.0,25.0,16.0,27.0,23.0,11.0,7.0
132,39.0,24.0,17.0,34.0,16.0,9.0,22.0,13.0,26.0,20.0,9.0,7.0
133,39.0,21.0,16.0,30.0,14.0,8.0,21.0,12.0,24.0,20.0,10.0,5.0
134,35.0,21.0,15.0,29.0,14.0,7.0,18.0,10.0,23.0,16.0,10.0,5.0
135,36.0,21.0,16.0,26.0,13.0,6.0,19.0,10.0,21.0,15.0,11.0,7.0
136,32.0,20.0,15.0,24.0,11.0,5.0,17.0,9.0,21.0,13.0,12.0,6.0
137,26.0,17.0,11.0,20.0,11.0,4.0,15.0,8.0,17.0,10.0,9.0,4.0
138,21.0,14.0,9.0,17.0,10.0,4.0,13.0,6.0,16.0,9.0,7.0,3.0
139,18.0,13.0,8.0,15.0,9.0,3.0,11.0,4.0,14.5,8.0,6.0,3.0
140,15.0,12.0,7.0,14.0,7.0,2.0,9.0,4.0,12.0,6.0,6.0,2.0
141,13.5,11.0,6.0,13.0,6.0,2.0,8.5,4.0,10.0,4.0,5.0,2.0
142,11.0,10.0,5.0,12.0,5.0,1.0,8.0,3.0,10.0,4.0,5.0,2.0
143,10.0,9.0,4.0,12.0,4.0,1.0,8.0,3.0,10.0,4.0,4.0,2.0
