,11,21,22,31,41,51,61,71,81,82,91,101,111,121,122
64,6.0,6.0,0.0,1.0,2.0,10.0,3.0,3.0,13.0,6.0,4.0,0.0,10.0,22.0,3.0
65,9.0,9.0,1.0,3.0,4.0,13.0,3.0,6.0,17.0,11.0,5.0,0.0,14.0,26.0,6.0
66,11.0,9.0,1.0,2.0,3.0,17.0,5.0,6.0,19.0,12.0,5.5,0.0,14.0,23.0,5.5
67,17.0,13.0,2.0,3.0,4.0,22.0,9.0,6.0,22.0,13.0,8.0,0.0,17.0,26.0,8.0
68,22.5,19.0,4.0,5.0,7.0,30.5,13.0,9.0,24.0,19.0,10.0,1.0,29.0,39.5,13.5
69,30.0,25.5,6.0,8.0,11.0,46.0,16.0,13.0,33.0,25.0,16.5,1.0,35.0,45.0,22.0
70,35.5,33.5,10.0,8.0,11.0,50.5,21.0,13.0,34.0,28.0,20.0,2.0,31.0,42.0,20.0
71,48.0,39.0,13.0,10.0,14.0,63.0,24.0,14.0,36.0,32.0,19.0,2.0,31.0,40.0,19.0
72,60.0,55.0,27.0,10.0,17.0,71.0,37.0,18.0,40.0,36.0,21.0,2.0,42.0,42.0,24.0
73,77.0,51.0,27.0,12.0,18.0,84.0,40.0,22.0,45.0,43.0,25.0,3.0,42.0,50.0,28.0
74,86.0,61.0,39.0,19.0,19.5,87.5,43.0,27.0,51.0,50.0,23.0,5.0,50.0,53.0,31.0
75,101.0,63.0,48.5,19.0,20.5,92.5,51.0,27.0,47.0,43.0,29.0,5.0,52.0,50.0,32.0
76,106.0,53.0,40.0,25.0,21.0,103.5,44.0,34.0,53.0,55.0,35.5,4.0,61.0,50.0,31.0
77,98.0,54.5,39.0,23.0,21.0,101.0,50.0,37.0,64.0,62.5,40.0,5.0,64.0,52.0,33.0
78,84.5,60.0,39.0,26.0,19.0,79.0,41.0,34.0,53.5,54.0,25.0,7.0,63.0,50.0,31.0
79,71.0,53.0,30.0,23.0,20.0,67.0,35.0,25.0,48.0,39.0,25.0,7.0,54.0,43.0,25.0
80,64.5,53.0,28.0,22.0,20.5,67.5,36.0,25.0,47.0,41.0,22.0,6.0,53.0,40.0,20.0
