,11,12,21,22,31,51,61,71,81,82,91,92,101,111,121,122
58,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0
59,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0
60,0.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,4.0,2.0,0.0,0.0
61,1.0,0.0,7.0,3.0,2.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,6.0,3.0,1.0,0.0
62,1.0,0.0,8.0,3.0,1.0,0.0,0.0,0.0,5.0,1.0,3.0,1.0,7.0,2.0,1.0,1.0
63,1.0,0.0,11.0,5.0,0.0,0.0,1.0,0.0,6.0,2.0,3.0,1.0,6.0,1.0,1.0,0.0
64,2.0,0.0,14.0,9.0,2.0,0.0,0.0,0.0,7.0,2.0,4.0,1.0,8.0,2.0,1.0,0.0
65,2.0,0.0,14.0,9.0,1.0,1.0,0.0,1.0,9.0,2.0,5.0,1.0,9.0,5.0,2.0,1.0
66,3.0,1.0,19.0,11.0,2.0,2.0,1.0,2.0,12.0,4.0,8.0,2.0,13.0,8.0,4.0,1.0
67,6.0,1.0,25.5,23.0,4.0,7.0,1.0,2.0,16.0,7.0,10.0,3.0,15.0,9.0,5.0,1.0
68,7.0,2.0,35.0,38.0,5.0,6.0,1.0,3.0,22.0,13.0,11.0,2.0,17.0,14.0,7.0,1.0
69,6.0,2.0,43.0,47.0,8.0,7.0,2.0,4.0,28.0,14.0,13.0,3.0,21.0,16.0,14.0,3.0
70,7.0,2.0,46.0,51.0,8.0,12.0,5.0,4.0,38.5,26.5,15.0,3.0,28.0,15.0,14.0,4.0
71,8.5,2.5,50.0,62.0,12.5,15.0,6.0,5.0,36.0,25.0,19.0,4.0,27.0,17.0,15.0,4.0
72,10.0,3.0,55.0,64.5,14.5,12.0,4.0,6.5,43.0,30.0,21.0,4.0,32.0,18.0,20.0,4.0
73,12.5,3.0,62.5,77.5,13.0,12.0,5.0,4.0,49.0,31.0,20.5,5.0,39.5,15.0,22.0,5.0
74,12.0,4.0,71.0,91.0,9.0,27.0,12.0,4.0,59.0,38.0,23.0,7.0,54.0,16.0,23.0,6.0
75,12.0,5.0,77.0,100.0,12.0,23.0,9.0,4.0,59.0,35.0,24.0,8.0,64.0,15.0,26.0,7.0
76,13.0,4.0,80.0,99.5,15.0,14.0,5.0,6.0,60.0,40.5,29.0,11.0,75.5,14.0,25.0,6.0
77,14.0,4.0,83.0,100.0,17.0,15.0,5.0,7.0,63.0,41.0,32.0,12.0,87.0,15.0,24.0,7.0
78,13.0,4.0,80.0,91.0,20.0,16.0,6.0,9.0,66.0,47.0,35.0,14.0,90.0,19.0,25.0,8.0
79,13.0,4.0,71.5,73.5,20.0,17.0,6.0,9.0,66.0,49.0,33.0,12.0,81.5,16.0,24.0,9.0
80,14.0,4.0,71.0,69.0,24.5,17.0,7.0,10.0,64.0,44.0,30.0,11.0,70.5,17.5,24.0,9.5
