,11,12,31,32,41,42,51,52,61,111,112,121,122
76,90.0,153.0,163.0,173.0,208.0,234.0,48.0,38.0,35.0,42.0,81.0,113.0,135.0
77,84.0,141.0,161.0,175.0,206.0,235.0,45.0,37.0,25.0,51.0,87.0,125.0,142.0
78,82.0,138.0,163.0,174.0,196.0,219.0,43.0,34.0,24.0,57.0,89.0,116.0,139.0
79,75.0,124.0,160.0,170.0,185.0,202.0,42.0,31.0,20.0,51.0,89.0,97.0,119.0
80,77.0,117.0,158.0,173.0,173.0,185.0,43.0,32.0,19.0,46.0,85.0,85.0,106.0
81,78.0,112.0,168.0,179.0,163.0,165.0,41.0,31.0,14.0,46.0,83.0,83.0,102.0
82,77.0,108.5,162.5,175.0,153.5,151.0,40.0,27.0,16.0,43.0,77.0,78.0,93.0
83,74.5,92.5,155.0,162.5,153.5,148.5,40.0,25.0,14.0,39.0,73.5,75.0,89.0
84,76.0,87.5,146.5,156.5,159.5,150.5,41.0,29.0,12.0,36.5,71.0,72.5,82.0
85,77.0,89.0,156.0,170.0,162.0,147.0,41.0,28.0,12.0,37.0,75.0,70.0,80.0
86,75.0,88.0,150.0,169.0,162.0,146.0,42.0,27.0,14.0,38.5,68.0,71.0,76.5
87,71.0,74.0,137.0,146.0,169.0,152.0,42.0,27.0,14.0,35.0,66.0,71.0,78.0
88,73.0,75.0,140.0,147.0,173.0,158.0,43.0,30.0,14.0,36.0,66.0,71.0,76.0
89,73.0,78.0,138.0,151.0,177.0,164.0,45.0,29.0,14.0,37.0,70.0,73.0,80.0
90,76.0,83.0,138.0,153.0,175.0,165.0,44.0,30.0,14.0,38.0,68.0,73.0,82.0
91,75.0,83.0,133.0,145.0,183.5,171.5,45.0,29.0,12.0,38.0,68.0,77.0,88.0
92,81.0,90.0,140.5,150.0,191.0,181.5,46.0,31.0,14.0,37.0,69.0,79.0,92.0
93,83.0,96.0,149.0,160.0,187.0,178.0,45.0,31.0,14.0,39.0,71.0,77.0,89.0
94,84.0,97.0,148.5,165.5,185.0,168.5,46.0,33.0,13.0,37.0,70.5,75.5,83.5
95,80.0,92.0,139.0,147.0,185.0,173.0,47.0,31.0,13.0,34.0,68.0,77.0,85.0
96,82.0,97.0,142.0,153.0,189.0,176.0,49.0,34.0,13.0,36.0,67.0,77.0,88.0
97,86.0,97.0,151.0,163.0,189.0,175.0,48.0,33.0,13.0,37.0,71.0,79.0,89.0
98,86.0,98.0,144.0,160.0,188.0,172.0,49.0,35.0,14.0,38.0,70.0,79.0,89.0
