,11,21,22,81,82,91,101,121
158,2.0,8.0,4.0,4.0,0.0,1.0,0.0,0.0
159,2.0,8.0,4.0,5.0,1.0,1.0,0.0,0.0
160,2.0,10.0,4.0,6.0,1.0,1.0,0.0,0.0
161,4.0,17.0,6.0,11.0,2.0,4.0,0.0,1.0
162,6.0,27.0,10.0,13.0,2.0,4.0,1.0,1.0
163,9.0,36.0,15.0,22.0,3.0,5.0,1.0,2.0
164,17.0,63.0,29.0,24.0,3.0,7.0,4.0,3.0
165,29.0,91.0,43.0,33.0,6.0,12.0,4.0,7.0
166,31.0,101.0,52.0,36.0,7.0,19.0,8.0,6.0
167,30.0,92.0,46.0,39.0,11.0,21.0,8.0,6.0
168,31.5,97.5,50.0,41.0,14.0,25.5,10.0,8.0
169,33.0,109.0,55.0,53.5,22.0,34.0,11.0,9.0
170,36.5,123.5,59.0,53.0,24.5,49.0,13.0,13.0
171,39.0,124.0,68.0,52.0,27.0,62.0,16.0,20.0
172,39.0,120.5,70.5,53.0,30.5,75.0,17.0,21.0
173,37.0,128.0,67.0,60.0,34.0,59.0,20.0,19.0
174,37.0,122.0,65.0,53.0,27.0,61.0,23.0,22.0
175,36.0,114.0,58.0,50.0,21.0,49.0,16.0,18.0
176,38.0,114.0,56.0,48.0,19.0,43.0,14.0,15.0
177,38.0,116.0,57.0,52.0,17.0,36.0,12.0,13.0
178,42.5,123.5,62.0,52.0,16.0,33.0,12.0,11.0
179,40.0,118.0,60.0,53.0,16.0,30.0,10.0,9.0
180,39.0,118.0,58.5,55.0,15.5,30.0,10.0,8.0
181,43.0,125.5,59.0,56.5,14.0,28.0,9.0,7.0
182,44.0,131.0,66.5,55.0,14.0,28.5,10.0,7.0
183,42.5,129.5,67.5,58.0,12.0,27.0,10.0,6.0
184,44.0,127.0,67.0,57.0,13.0,27.0,10.0,6.0
185,43.0,132.5,70.0,61.5,15.0,28.0,11.0,6.0
186,43.0,136.5,72.5,61.0,17.0,33.0,11.0,7.0
187,42.0,138.5,73.5,60.5,15.0,34.0,11.0,6.0
188,44.0,136.5,80.0,58.0,18.0,49.0,12.5,6.5
189,43.0,144.0,82.0,62.0,17.0,41.0,12.0,7.0
