,11,21,31,51,52,53,61,81,82,91,111,112,113,121
90,40.0,46.0,51.0,70.0,72.0,46.5,28.0,14.0,13.0,16.0,35.0,61.0,52.0,35.0
91,41.0,46.0,53.0,71.5,74.0,48.0,27.0,14.0,14.0,16.0,35.5,62.0,52.5,37.5
92,45.0,45.5,54.5,72.5,75.0,50.5,27.0,13.0,14.0,16.0,36.0,62.5,55.0,37.0
93,47.0,49.0,58.0,75.0,80.0,54.0,29.0,14.0,14.0,17.0,39.0,65.0,58.0,37.0
94,45.0,51.0,58.0,74.0,77.0,53.0,30.0,13.0,15.0,17.0,38.0,66.0,59.0,37.0
95,46.0,50.0,58.0,73.0,78.0,52.0,31.0,13.0,15.0,17.0,37.0,65.0,57.0,36.0
96,46.5,50.0,57.0,74.0,78.0,56.0,30.0,13.0,14.0,17.0,36.0,65.5,55.5,36.5
97,48.0,52.0,60.0,76.0,79.5,53.0,31.0,13.0,15.5,18.0,38.0,67.0,59.0,37.0
98,45.0,50.0,58.0,74.0,80.0,56.0,31.0,13.0,15.0,17.0,38.0,68.0,62.0,38.0
99,44.0,50.5,60.0,77.0,81.0,57.0,30.0,13.0,15.0,19.0,38.0,70.0,62.0,40.0
100,45.0,52.0,62.0,75.5,82.0,59.0,29.0,13.5,17.0,18.0,39.0,73.0,68.5,41.0
101,50.0,56.5,65.5,77.0,82.5,59.0,31.0,13.0,16.0,18.0,40.0,77.0,75.0,42.0
102,47.0,56.0,66.0,74.0,81.0,60.0,32.0,12.0,17.0,18.0,42.0,76.0,71.0,44.0
103,46.0,54.0,61.5,77.0,81.5,60.0,32.5,12.0,17.0,19.0,44.0,82.5,76.5,49.0
104,46.0,52.0,60.0,80.5,86.0,66.5,35.0,12.0,17.0,21.0,48.0,84.0,83.0,52.0
105,45.0,54.0,65.0,82.0,89.5,68.5,34.0,11.0,18.0,21.0,50.0,92.0,93.0,57.0
106,45.0,53.0,65.0,80.0,91.0,72.0,35.0,10.0,19.0,20.0,53.0,98.0,102.0,60.0
107,44.0,57.0,63.0,85.5,97.0,71.5,34.0,8.0,19.0,20.5,59.0,116.0,124.0,64.5
108,43.0,54.0,62.0,81.0,90.0,66.0,36.0,7.0,20.0,20.0,60.0,118.0,129.0,68.0
109,44.0,53.0,64.5,82.5,91.0,69.0,35.0,5.5,19.0,20.0,60.0,126.0,134.0,72.5
110,42.0,56.0,63.0,82.0,88.0,64.0,35.5,5.0,20.0,21.5,58.5,123.0,132.0,67.5
111,45.0,59.0,64.5,79.0,83.0,60.0,37.0,5.0,21.0,21.5,58.0,123.0,134.0,68.5
112,43.0,56.0,63.5,80.0,88.0,62.0,36.0,5.0,22.0,21.0,60.5,128.0,141.0,72.5
113,43.0,58.0,65.0,75.0,82.0,56.0,33.0,5.0,21.0,20.0,57.0,128.0,137.0,73.0
114,44.0,58.0,63.0,73.0,76.0,53.0,33.0,6.0,20.0,19.0,59.0,117.0,125.0,64.0
115,47.0,61.0,67.0,72.0,73.0,49.0,30.0,7.0,19.0,19.0,54.0,108.0,109.0,60.0
116,44.0,54.0,64.0,70.0,69.0,44.0,29.0,10.0,18.0,18.0,49.0,97.0,91.0,54.0
117,40.0,52.0,63.0,63.0,61.0,38.0,26.0,12.0,16.0,18.0,41.0,82.0,72.0,47.0
118,38.0,49.0,61.0,61.0,61.5,36.0,24.5,14.0,15.0,15.0,34.0,70.0,59.0,42.0
119,38.0,49.0,61.0,59.0,56.0,30.0,24.0,15.0,15.0,14.0,30.0,62.5,49.0,36.5
120,36.0,47.0,55.5,59.0,55.5,31.0,23.0,15.0,14.0,13.0,28.5,58.0,45.0,33.0
121,32.0,43.0,56.0,55.0,51.0,27.0,20.0,17.0,13.0,12.5,25.5,52.0,38.5,28.5
