,21,31,32,41,42,51,52,53,54,55,56,61,71,81,82,111,112,121
58,3.0,4.0,2.0,11.0,3.0,10.0,6.0,9.0,4.0,12.0,3.5,1.0,2.0,3.0,0.0,3.0,3.0,1.0
59,3.0,4.0,2.0,13.0,3.0,11.0,7.0,10.0,4.0,14.0,4.0,1.0,2.0,2.0,0.0,3.0,2.0,1.0
60,3.0,6.0,4.0,17.0,5.0,16.0,8.5,14.0,4.5,19.5,5.0,2.0,2.0,3.0,0.0,3.0,3.0,1.0
61,4.0,8.0,5.0,23.0,8.0,21.0,12.0,18.5,7.0,27.0,7.0,2.0,2.0,4.0,0.0,4.0,4.0,1.0
62,5.0,14.5,7.0,33.5,12.0,34.0,17.0,25.5,8.0,38.0,10.0,3.0,2.0,4.0,0.0,6.0,5.0,2.0
63,8.0,23.0,17.0,60.5,20.0,56.0,26.5,30.5,15.0,60.0,17.0,4.0,3.5,7.0,0.0,10.0,7.0,3.0
64,9.0,28.0,29.0,81.0,31.5,70.0,42.5,40.5,22.0,78.5,25.0,5.0,6.0,7.5,1.0,11.0,14.0,2.0
65,12.0,27.0,26.0,96.0,41.0,80.0,48.0,50.0,31.0,86.0,33.0,6.0,5.0,9.0,1.0,12.0,13.0,3.0
66,17.0,30.0,23.0,109.0,52.0,94.0,60.0,52.0,40.0,94.0,44.0,8.0,5.0,12.0,1.0,15.0,14.0,4.0
67,19.0,39.0,36.0,127.0,66.0,106.0,68.0,64.0,55.0,102.0,57.0,13.0,7.0,13.0,2.0,17.0,18.0,3.0
68,21.0,40.0,54.0,128.0,73.0,110.0,73.0,72.0,66.0,100.0,72.0,23.0,9.0,11.0,1.0,21.0,24.0,4.0
69,30.0,45.0,44.0,123.0,76.0,110.0,71.0,86.0,77.0,95.0,77.0,27.0,10.0,10.0,2.0,27.0,27.0,4.0
70,36.5,47.0,27.0,125.0,75.5,105.0,73.0,91.0,87.0,98.5,84.0,32.0,10.0,10.0,1.0,36.5,27.0,5.0
71,36.0,49.0,31.0,130.0,75.0,113.0,76.0,91.0,86.0,97.0,84.0,31.0,16.0,15.0,3.0,43.0,31.0,5.0
72,40.0,46.0,32.0,140.5,87.0,123.0,83.5,96.0,92.0,93.5,83.0,35.0,20.0,17.0,4.0,45.0,35.0,7.0
73,45.0,56.5,38.5,156.0,92.0,133.0,81.5,103.0,99.0,94.0,89.0,39.0,21.0,20.0,3.0,52.0,40.0,8.0
74,50.0,60.0,36.0,167.0,92.0,150.0,85.0,105.0,105.0,93.0,83.0,47.0,20.0,21.0,3.0,56.0,46.0,10.0
75,51.0,59.0,37.0,166.0,96.0,153.0,86.0,105.0,105.0,97.0,89.0,44.0,20.0,22.0,3.0,60.0,52.0,11.0
76,54.0,56.0,41.0,166.0,103.5,152.5,86.5,103.0,109.5,93.0,88.0,47.0,20.5,23.0,3.5,57.0,48.5,15.0
77,53.0,58.0,41.0,165.0,88.0,151.0,88.0,104.0,111.0,91.0,87.0,49.0,23.0,25.0,4.0,58.0,48.0,16.0
78,52.0,51.0,37.0,170.0,91.0,162.5,85.0,101.0,109.5,96.5,85.5,50.0,22.0,27.0,4.5,55.0,42.0,15.0
79,48.5,46.0,29.0,152.0,86.5,134.0,80.0,94.0,96.0,96.0,84.0,40.5,22.0,24.0,4.0,49.0,40.0,15.0
80,41.0,46.0,28.0,138.5,80.5,111.0,72.5,85.0,83.5,96.0,81.0,29.0,20.0,20.0,4.0,52.5,40.0,13.0
81,40.0,49.0,28.0,122.0,75.0,107.0,71.0,82.0,75.0,97.0,72.0,29.0,21.0,19.0,4.0,55.0,40.0,14.0
82,44.0,48.0,30.0,122.0,76.0,99.0,71.0,78.0,73.0,97.0,75.0,26.0,21.0,20.0,3.0,56.0,41.0,14.0
83,40.0,46.0,28.5,114.5,69.0,93.0,66.5,75.5,65.0,90.0,68.0,22.0,20.5,20.0,3.0,57.5,40.0,13.0
84,38.0,45.0,29.0,121.5,68.5,95.0,67.5,72.5,63.5,96.5,65.0,22.0,23.0,21.0,3.0,57.0,42.0,15.0
85,35.0,48.0,31.0,122.0,71.0,92.0,65.0,71.0,63.0,93.0,67.0,22.0,24.0,20.0,4.0,59.0,45.0,16.0
86,38.0,48.0,32.0,117.0,70.0,96.0,66.0,69.0,64.0,99.0,64.0,22.0,24.0,22.0,4.0,60.0,46.0,16.0
87,38.0,49.0,30.5,126.0,71.0,95.5,65.0,67.5,59.0,95.0,63.0,22.0,25.0,22.0,4.0,60.0,47.0,17.0
88,38.0,48.0,32.0,123.0,70.0,98.0,65.0,70.5,61.5,97.5,64.5,21.0,26.0,24.0,4.0,60.0,49.0,17.0
