,11,21,22,31,32,41,42,51,52,61,62,71,81,82,101,111,112,121,122
53,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0
54,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
55,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
56,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
57,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
58,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
59,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
60,0.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
62,0.0,0.0,2.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0
63,0.0,1.0,4.0,2.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,2.0,1.0,0.0,2.0,0.0
64,1.0,2.0,7.0,4.5,0.0,6.0,2.0,1.0,0.0,1.0,0.0,1.0,5.0,1.0,2.0,1.5,0.0,2.0,0.0
65,1.0,4.0,9.0,10.5,1.0,9.0,2.0,2.0,0.0,2.0,0.0,1.0,9.0,3.0,2.0,1.0,0.0,4.0,0.0
66,5.0,6.0,13.0,14.0,2.0,10.0,3.0,2.0,0.0,2.0,0.0,3.0,10.0,4.0,4.0,2.0,0.0,5.0,0.0
67,7.0,16.0,20.0,23.0,3.0,14.0,5.0,3.0,0.0,6.0,0.0,5.0,18.0,5.0,4.0,3.0,0.0,7.0,0.0
68,13.0,37.0,46.0,41.0,11.0,17.0,5.0,5.0,1.0,8.0,1.0,9.0,22.0,6.0,7.0,5.0,0.0,9.0,1.0
69,21.0,51.0,70.0,53.0,22.0,19.0,6.0,7.0,1.0,12.0,2.0,9.0,26.0,10.0,11.0,6.0,0.0,14.0,2.0
70,37.0,67.0,94.0,67.0,35.0,23.0,8.0,9.0,1.0,12.0,2.0,12.0,35.0,18.0,14.0,11.0,1.0,16.0,2.0
71,41.0,64.0,94.0,63.0,32.0,27.0,11.0,10.0,1.0,11.0,3.0,12.0,41.0,25.0,14.0,11.0,1.0,18.0,3.0
72,47.0,78.0,114.0,67.0,37.0,28.0,13.0,10.0,1.0,12.0,3.0,15.0,45.0,30.0,17.0,13.0,1.0,22.0,6.0
73,46.0,90.0,127.0,66.0,38.0,29.0,15.0,12.0,2.0,15.0,4.0,18.0,51.0,38.0,21.0,16.0,2.0,28.0,10.0
74,48.0,93.0,132.0,67.5,41.0,30.0,17.0,14.0,4.0,18.0,5.0,23.0,51.0,41.0,25.5,16.0,2.0,27.0,9.0
75,47.0,92.0,126.0,72.0,48.0,32.0,20.0,16.0,5.0,19.0,7.0,23.0,54.0,48.0,30.0,19.0,3.0,28.0,12.0
76,48.0,89.0,126.5,74.0,48.0,32.0,20.0,21.0,8.0,24.0,7.0,26.0,57.0,51.5,30.0,19.0,4.0,32.0,13.0
77,49.0,83.0,119.0,75.0,56.0,30.0,19.0,18.0,6.0,22.0,6.0,32.0,63.0,59.0,33.0,22.0,6.0,33.0,15.0
78,48.0,82.0,119.0,77.0,55.0,29.0,18.0,18.0,7.0,20.0,6.0,31.0,58.0,56.0,35.0,25.0,8.0,28.0,13.0
79,48.0,76.0,114.0,77.0,49.0,27.0,16.0,14.0,4.0,18.0,6.0,31.0,52.0,49.0,38.0,22.0,5.0,23.0,9.0
80,43.5,77.0,113.5,77.0,48.0,28.0,15.0,14.0,5.0,19.0,6.0,27.0,45.0,43.0,39.0,23.0,5.5,20.0,6.0
81,39.0,71.0,111.0,72.0,43.0,28.0,14.0,13.0,3.0,18.0,5.0,26.0,42.0,40.0,41.0,21.0,4.0,19.0,6.0
82,33.0,62.5,102.0,70.5,37.0,27.0,14.0,14.0,4.0,16.0,5.5,26.5,40.0,37.0,41.5,19.0,4.0,18.0,5.0
83,25.0,49.0,85.0,58.0,26.0,29.0,15.0,11.0,3.0,17.0,5.0,26.0,42.0,33.0,38.0,19.0,3.0,18.0,5.0
84,23.0,43.5,81.0,56.0,25.0,30.0,14.5,13.0,3.0,17.0,5.0,26.0,41.0,34.0,38.0,19.0,3.0,18.0,4.0
85,22.0,42.5,81.0,55.5,23.0,30.0,16.0,14.0,3.0,19.0,6.0,26.0,42.0,36.0,39.0,19.5,3.0,19.0,5.0
86,20.0,41.0,76.0,53.0,24.0,33.0,19.0,14.0,3.0,19.0,6.0,25.0,46.0,36.0,38.0,19.0,4.0,19.0,4.0
87,16.0,32.0,62.0,46.0,16.0,36.0,22.0,14.0,3.0,18.0,5.0,25.0,47.0,38.0,34.0,19.0,3.0,20.0,5.0
88,16.0,32.0,62.0,45.0,17.0,39.5,22.0,14.0,3.0,19.0,5.0,27.0,51.5,40.5,35.0,19.0,3.0,19.0,4.0
89,16.0,33.0,66.0,48.0,19.0,41.0,24.0,14.0,3.0,20.0,6.0,26.0,52.0,40.5,34.0,21.0,4.0,20.5,5.0
90,17.0,37.0,68.5,52.0,20.0,42.0,27.0,15.0,4.0,20.0,6.0,29.0,51.0,41.0,34.0,20.0,4.0,20.0,4.0
