,21,22,51,52,61,81,82,83,111,112
150,3.0,2.0,3.5,1.5,1.0,1.0,4.5,2.0,6.0,1.0
151,3.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,6.0,1.0
152,3.0,2.0,3.0,1.0,1.0,2.0,4.0,2.0,5.0,1.0
153,3.0,2.0,3.0,1.5,1.5,1.0,4.0,2.0,5.0,0.0
154,4.0,2.0,3.0,1.0,2.0,1.0,4.0,2.0,5.0,1.0
155,5.0,2.0,3.0,1.0,2.0,1.0,4.0,1.5,4.0,1.0
156,5.0,2.0,5.0,2.0,3.0,2.0,4.0,2.0,5.0,1.0
157,8.0,3.5,5.0,2.0,3.0,2.0,7.0,2.0,5.0,1.0
158,12.5,5.5,9.0,3.0,5.0,4.0,12.0,4.0,8.0,2.0
159,19.5,11.0,16.0,4.0,8.0,5.0,19.0,6.0,10.0,3.0
160,18.0,9.0,19.0,4.0,9.0,9.0,21.5,6.0,16.0,5.0
161,20.0,10.0,21.5,5.5,14.0,9.0,22.5,8.0,17.0,4.0
162,29.5,11.0,25.0,7.0,18.5,10.0,29.0,9.0,16.5,3.0
163,34.0,17.0,26.0,5.0,29.0,12.0,28.0,11.0,17.0,6.0
164,36.0,20.0,27.0,7.0,31.0,16.0,24.5,11.0,25.0,9.0
165,42.0,20.0,31.0,10.0,39.0,16.0,28.0,12.0,27.0,10.0
166,45.0,25.0,33.0,14.5,37.0,18.0,31.0,14.0,24.0,9.0
167,45.5,23.0,43.5,20.0,47.5,21.0,34.0,17.0,28.0,11.5
168,45.0,27.0,45.0,25.0,60.5,27.5,35.0,19.0,32.0,16.0
169,55.0,33.0,54.5,37.0,68.5,33.0,43.5,26.0,33.0,16.0
170,57.0,39.0,63.0,48.0,69.0,33.0,45.5,28.0,40.0,21.0
171,67.0,46.5,62.0,51.0,74.0,38.0,48.0,32.5,41.0,28.5
172,60.0,49.0,69.0,53.0,75.0,40.0,54.5,39.0,44.0,33.0
173,63.0,46.5,78.5,61.0,83.0,45.0,57.5,43.5,41.5,26.5
174,64.5,44.5,66.5,45.0,67.0,37.5,52.0,38.0,40.0,27.0
175,59.0,38.0,54.0,31.0,54.5,32.5,44.5,30.0,38.0,23.0
176,52.0,33.0,52.0,28.0,49.0,32.0,44.0,28.0,41.5,24.0
177,53.0,33.0,53.5,28.5,54.0,31.0,42.0,29.0,42.0,24.0
178,57.0,35.5,55.5,30.5,49.5,31.5,43.0,28.0,43.5,26.0
179,52.0,30.0,53.0,26.0,45.0,31.0,43.5,28.0,42.0,23.0
180,53.0,31.5,52.0,26.0,44.0,30.5,43.0,27.5,46.5,28.0
181,53.0,30.5,54.0,27.5,43.0,34.0,43.0,28.0,47.5,27.5
182,54.5,33.0,55.0,26.5,43.0,32.0,42.0,28.0,49.0,32.0
183,50.5,31.0,52.0,24.5,44.0,32.5,47.0,30.0,49.0,31.0
184,53.0,33.0,56.0,26.5,43.5,34.5,43.5,29.0,52.0,32.5
185,56.0,31.0,55.5,25.5,44.0,35.0,47.0,31.0,53.0,34.0
186,59.0,38.0,55.0,28.0,47.0,36.0,47.0,29.5,60.5,42.0
187,58.5,41.0,59.0,30.0,50.0,40.0,50.0,34.0,60.0,43.0
188,63.0,43.0,65.5,36.5,59.0,41.0,49.0,34.0,57.0,42.0
189,63.0,41.5,65.0,40.0,54.5,42.0,52.5,37.0,56.0,38.5
190,65.5,45.0,68.5,38.0,55.0,45.5,55.0,36.5,56.0,42.0
