out,in
64.0,64.0
72.0,68.0
60.0,64.0
88.0,144.0
76.0,164.0
96.0,116.0
152.0,164.0
208.0,264.0
208.0,284.0
224.0,416.0
408.0,340.0
560.0,460.0
740.0,536.0
896.0,576.0
1448.0,716.0
1972.0,1180.0
2608.0,1832.0
2796.0,1924.0
3244.0,2156.0
3180.0,2408.0
3392.0,3076.0
3216.0,2860.0
3100.0,2324.0
2984.0,2332.0
3024.0,2312.0
2976.0,2004.0
2484.0,1824.0
2084.0,2000.0
1888.0,2016.0
2204.0,1840.0
2048.0,1692.0
2060.0,1828.0
1697.0,1799.0
1732.0,1700.0
1732.0,1816.0
1748.0,1760.0
2028.0,1964.0
2292.0,2124.0
2228.0,2268.0
2004.0,2100.0
2084.0,2348.0
2448.0,2228.0
2126.0,2202.0
2324.0,2052.0
2164.0,2160.0
2180.0,2140.0
2258.0,2267.0
2060.0,2304.0
2284.0,2404.0
2316.0,2472.0
2384.0,2572.0
2392.0,2580.0
2656.0,2832.0
2436.0,2952.0
2616.0,3296.0
2780.0,3512.0
2768.0,3764.0
3004.0,3876.0
2740.0,3572.0
2984.0,3728.0
2832.0,3856.0
2084.0,3560.0
1808.0,3056.0
1760.0,2996.0
1588.0,2400.0
1520.0,2128.0
1432.0,2032.0
1396.0,1920.0
1156.0,1664.0
1244.0,1624.0
1092.0,1256.0
1052.0,1300.0
796.0,984.0
856.0,980.0
900.0,840.0
1000.0,824.0
928.0,1000.0
764.0,872.0
944.0,784.0
948.0,864.0
812.0,828.0
704.0,676.0
640.0,612.0
489.0,665.0
516.0,500.0
388.0,428.0
232.0,332.0
192.0,248.0
96.0,156.0
132.0,160.0
88.0,148.0
48.0,124.0
68.0,96.0
68.0,88.0
68.0,80.0
68.0,64.0
40.0,100.0
76.0,92.0
76.0,56.0
80.0,72.0
60.0,124.0
96.0,116.0
128.0,72.0
184.0,160.0
192.0,264.0
196.0,352.0
384.0,292.0
508.0,484.0
784.0,488.0
956.0,588.0
1432.0,604.0
2108.0,1212.0
2596.0,1876.0
2884.0,1928.0
3404.0,2172.0
3360.0,2592.0
3376.0,3008.0
3320.0,2980.0
3332.0,2448.0
3320.0,2584.0
3384.0,2632.0
2976.0,2316.0
2480.0,2108.0
2172.0,1835.0
2144.0,1920.0
1964.0,2012.0
1988.0,1772.0
2036.0,1832.0
1736.0,1848.0
1908.0,1660.0
1756.0,1768.0
1656.0,1804.0
1972.0,1988.0
1888.0,1952.0
1960.0,1960.0
2116.0,2124.0
2004.0,2068.0
2104.0,1980.0
2092.0,1929.0
2148.0,2068.0
2272.0,2012.0
2092.0,1948.0
1932.0,2180.0
2192.0,2484.0
2060.0,2644.0
2276.0,2492.0
2220.0,2444.0
2380.0,2756.0
2320.0,3004.0
2528.0,3200.0
2544.0,3360.0
2712.0,3300.0
2720.0,3628.0
2844.0,3464.0
2752.0,3636.0
2984.0,4020.0
2968.0,3528.0
2560.0,3560.0
1948.0,2164.0
1892.0,1332.0
1672.0,1396.0
1404.0,1972.0
1420.0,3224.0
1464.0,1800.0
1312.0,1824.0
1156.0,1740.0
1240.0,1496.0
1112.0,1324.0
900.0,1184.0
936.0,1092.0
728.0,880.0
924.0,1144.0
984.0,1092.0
956.0,892.0
992.0,924.0
864.0,828.0
696.0,948.0
692.0,680.0
656.0,728.0
552.0,676.0
532.0,452.0
380.0,420.0
288.0,336.0
216.0,236.0
208.0,248.0
172.0,136.0
104.0,172.0
172.0,116.0
82.0,95.0
116.0,140.0
76.0,124.0
72.0,72.0
68.0,88.0
76.0,76.0
56.0,108.0
48.0,140.0
90.0,129.0
76.0,152.0
124.0,236.0
216.0,292.0
184.0,296.0
188.0,396.0
388.0,308.0
532.0,552.0
736.0,580.0
884.0,576.0
1244.0,760.0
1832.0,1224.0
2260.0,1856.0
2520.0,1832.0
2980.0,2028.0
3208.0,2472.0
3132.0,3036.0
3188.0,2812.0
3032.0,2484.0
3112.0,2320.0
3180.0,2528.0
3260.0,2172.0
2504.0,1748.0
2160.0,1948.0
1992.0,2032.0
1968.0,1780.0
2040.0,1900.0
2012.0,1760.0
1912.0,1852.0
